SN	Features	Total Marks
(100)

A	Development	90
AA	Feature	60
1	Journal Entry Management – Create, update, delete daily entry (only one per day with system timestamps) 	5
2	Rich Text/Markdown Writing – Formatting support (bold, italics, lists, headings, links) 	5
3	Mood Tracking – Primary mood required, up to two secondary moods 	5
4	Tagging System – Custom or pre-built tags to classify entries 	5
5	Calendar Navigation – Navigate entries through a calendar view 	5
6	Paginated Journal View – View entries in paginated form for easy navigation 	5
7	Search & Filter – Search by title/content; filter by date, moods, or tags 	5
8	Streak Tracking – Track daily streaks, longest streak, and missed days 	5
9	Theme Customization – Switch between light/dark or custom themes 	5
10	Dashboard Analytics & Insights – Mood distribution, frequent moods, most used tags, tag breakdown, word count trends 	5
11	Security & Privacy – Password/PIN protection of journals 	5
12	Export Journals – Export multiple entries as PDF by date range 	5
